epoch,step,min,max,mean,std
1,2000,-0.0498940609395504,0.06427091360092163,0.0054246047511696815,0.02194645255804062
2,4000,-0.053314849734306335,0.04855723679065704,-0.005167987663298845,0.018472330644726753
3,6000,-0.07554265856742859,0.04321400448679924,-0.005236849654465914,0.02100526914000511
4,8000,-0.022928323596715927,0.0676659494638443,0.005070437677204609,0.015791073441505432
5,10000,-0.024616435170173645,0.02863508276641369,-0.0002537742257118225,0.00851696077734232
