epoch,step,min,max,mean,std
1,2000,-0.02251463010907173,0.018819322809576988,-9.916012641042471e-05,0.0017436264315620065
2,4000,-0.1018080860376358,0.12103785574436188,-4.8012272600317374e-05,0.003928328864276409
3,6000,-0.03464333340525627,0.04133949428796768,-0.00012140079343225807,0.0026788129471242428
4,8000,-0.03741211071610451,0.020484192296862602,-4.133070251555182e-05,0.0019456150475889444
5,10000,-0.0336720310151577,0.02783285453915596,2.047765883617103e-05,0.0023208074271678925
