epoch,step,min,max,mean,std
1,2000,-0.007143796421587467,0.0062135555781424046,-0.00027639485779218376,0.0009086134959943593
2,4000,-0.008322818204760551,0.009952803142368793,-0.00010154025221709162,0.0014853556640446186
3,6000,-0.004847102798521519,0.0072958930395543575,0.00011321720376145095,0.0008864495321176946
4,8000,-0.006407636683434248,0.004684938117861748,-0.00017599377315491438,0.0007691109203733504
5,10000,-0.005434016697108746,0.004239989444613457,-5.144276292412542e-05,0.0007677492103539407
